Date,First Derivative,Second Derivative,Trend Type
2025-01-03,1.250635538554329,4.484794344440414,Bullish Surge
2025-01-04,0.32697150949307185,5.940628409488348,Bullish Surge
2025-01-05,0.2662133415698529,6.852929997388155,Bullish Surge
2025-01-11,-0.7311104848447911,4.874393388375578,Sharp Decline
2025-01-12,-1.6070377155810411,1.4209976634837438,Sharp Decline
2025-01-13,-2.355245027171947,3.325080855459092,Sharp Decline
2025-01-14,-2.7584073163646394,0.8847270499235609,Sharp Decline
2025-01-15,-2.593398370900795,1.3072445580394012,Sharp Decline
2025-01-16,-1.6746774086606298,4.720142520706024,Sharp Decline
2025-01-19,-1.3080185432883642,5.817793479335062,Sharp Decline
2025-01-20,-0.9455336020410096,5.93967711674767,Sharp Decline
2025-02-01,0.033755387579284146,6.026991084852712,Bullish Surge
2025-02-06,-2.146673066342751,-1.6760198046339898,Sharp Decline
2025-02-07,-1.8765284841470646,1.9009358469288142,Sharp Decline
2025-02-19,-0.09908115870447999,-5.299463420179693,Sharp Decline
2025-02-23,1.549691622627426,-0.8792685906586417,Bullish Surge
2025-02-24,1.7445098635497154,-2.8075129735963773,Bullish Surge
2025-03-03,-1.7961979563382622,0.1502396883819448,Sharp Decline
2025-03-04,-1.5110250687283837,5.05759454042952,Sharp Decline
2025-03-07,1.966734537406151,1.145006062215882,Bullish Surge
2025-03-08,2.0539436104831412,-3.8125937749659284,Bullish Surge
2025-03-12,1.074330136400752,5.443935481588509,Bullish Surge
2025-03-14,1.4267889407909227,-5.686531907897669,Bullish Surge
2025-03-15,0.9331196713756316,-7.315935394765121,Bullish Surge
2025-03-20,-0.626182253836574,-6.110902524909769,Sharp Decline
2025-03-23,0.42610563054050626,5.98541210816102,Bullish Surge
2025-04-04,-0.5610924538792151,-6.020099105399539,Sharp Decline
2025-04-16,0.8227408553108677,6.2158708425718565,Bullish Surge
2025-04-17,1.1943867919488624,5.826081632666607,Bullish Surge
2025-04-19,0.19645157661056836,-7.6272890821178,Bullish Surge
2025-04-20,0.03871659698745572,-9.335649780142413,Bullish Surge
2025-04-23,0.513361759582777,9.835179571588583,Bullish Surge
2025-04-24,0.7076800176167585,7.473476500686145,Bullish Surge
2025-04-26,0.43269067036072545,-6.891921539533237,Bullish Surge
2025-04-29,1.589766781141489,-4.19930171717457,Bullish Surge
2025-04-30,1.7762025072903713,1.5625329526793714,Bullish Surge
2025-05-06,0.22901041626497037,5.439210943886369,Bullish Surge
2025-05-27,-1.6015822548892782,3.552339431362103,Sharp Decline
2025-06-02,0.6414182848475535,-5.943862446780285,Bullish Surge
2025-06-11,1.6357321493874641,-5.727440479921743,Bullish Surge
2025-06-12,1.8311122472735528,-2.9013802179572212,Bullish Surge
2025-06-13,1.5004352240174677,-4.893782044776127,Bullish Surge
2025-06-15,1.703294502340051,5.767498416132259,Bullish Surge
2025-06-19,-1.6197430938953146,-1.2717471553269442,Sharp Decline
2025-06-20,-1.5495656901197143,1.4346426389875042,Sharp Decline
2025-06-27,2.303097905959185,1.8118970196698685,Bullish Surge
2025-06-28,2.849357017708623,4.63046947235967,Bullish Surge
2025-06-29,2.23461540102463,3.22207148403247,Bullish Surge
2025-06-30,-0.28454349147494984,-6.035613070692567,Sharp Decline
